/workspace/out/code/MIX_Symptom/checkpoints/model/20200430-1-120-R/net_10_0.pth
/workspace/out/code/MIX_Symptom/checkpoints/model/202004301-120-R/net_10_0.pth
(21536, 16)
sample - ['大便闭结', '运化', '大便闭'] 13 13 13
sample - ['迎风左眼流泪', '目', '左眼流泪'] 2 2 2
sample - ['持续腹痛', '腹', '腹痛'] 1 1 1
sample - ['脉大身热', '脉', '脉大'] 2 2 1
sample - ['甚至举步维艰', '肉', '举步维艰'] 3 3 3
sample - ['有时头额痛', '头', '头额痛'] 2 2 2
sample - ['语言艰涩', '神志', '语言艰涩'] 1 1 1
sample - ['胃部隐痛不适', '腹', '胃部隐痛'] 1 1 1
sample - ['发烧', '皮', '发烧'] 1 1 1
sample - ['腹臌胸闷', '腹', '腹臌'] 74 74 52
sample - ['伴有胸痛', '胸', '胸痛'] 1 1 1
sample - ['头痛疲乏', '头', '头痛'] 2 2 1
sample - ['胸闷不舒,餐后即泻', '运化', '泄泻'] 4 4 1
sample - ['便结不畅', '运化', '便结'] 1 1 1
sample - ['左侧肢体活动欠灵活', '肉', '左侧肢体活动欠灵活'] 1 1 1
sample - ['感乏力', '肉', '乏力'] 1 1 1
sample - ['心烦多梦', '情绪', '心烦'] 1 1 1
sample - ['右侧大腿沉重乏力', '肉', '乏力'] 1 1 1
sample - ['足底麻木感', '皮', '麻木'] 1 1 1
sample - ['嗳气夹食物味', '运化', '嗳气'] 1 1 1
sample - ['头痛呕吐', '运化', '呕吐'] 2 2 2
sample - ['急躁口干', '情绪', '急躁'] 2 2 1
sample - ['头昏目赤', '头', '头昏'] 2 2 1
sample - ['白带色黄有味', '泌尿生殖', '白带色黄'] 1 1 1
sample - ['枕部疼痛', '肉', '枕部疼痛'] 1 1 1
sample - ['足底发热', '皮', '发热'] 1 1 1
sample - ['腹下坚满', '腹', '腹坚满'] 1 1 1
sample - ['到午夜双脚不能步履', '肉', '不能步履'] 9 9 5
sample - ['咳嗽阵阵', '呼吸', '咳嗽'] 1 1 1
sample - ['胸痹呕恶', '运化', '呕恶'] 1 1 1
sample - ['胃纳欠丰', '运化', '纳欠'] 2 2 2
sample - ['呕吐哕', '运化', '呕哕'] 14 14 14
sample - ['昏眩', '目', '昏眩'] 1 1 1
sample - ['周身疼痛', '肉', '周身疼痛'] 4 4 4
sample - ['月经前期腰痛更甚', '泌尿生殖', '月经前期'] 1 1 1
sample - ['小便无力.', '肉', '无力'] 1 1 1
sample - ['面黄清瘦', '肉', '清瘦'] 3 3 1
sample - ['经期延长8-9天干净', '泌尿生殖', '经期延长'] 1 1 1
sample - ['患者伴有腹胀', '腹', '腹胀'] 1 1 1
sample - ['心忡气短', '胸', '心忡'] 4 4 3
sample - ['以致壅塞中脘', '腹', '脘塞'] 1 1 1
sample - ['咳嗽减轻', '呼吸', '咳嗽'] 1 1 1
sample - ['咽喉干燥疼痛', '咽喉', '咽喉干燥'] 4 4 4
sample - ['左乳刺痛', '乳房', '左乳刺痛'] 1 1 1
sample - ['牙龈微肿', '骨', '肿'] 25 25 10
sample - ['饮食俱废精神萎靡', '神志', '精神萎靡'] 48 48 2
sample - ['耳焦枯', '耳', '耳焦'] 4 4 2
sample - ['头晕眠差', '头', '头晕'] 2 2 1
sample - ['午后脘痛欲呕', '运化', '呕'] 4 4 2
sample - ['活动受限明显', '肉', '活动受限'] 1 1 1
sample - ['全身伴见乏力', '肉', '乏力'] 4 4 4
sample - ['口干心悸心烦', '口', '口干'] 4 4 1
sample - ['心慌伴盗汗', '胸', '心慌'] 2 2 1
sample - ['尿浊多泡沫', '泌尿生殖', '尿浊'] 1 1 1
sample - ['左臀及大腿根部疼痛', '肉', '大腿根部疼痛'] 1 1 1
sample - ['目赤气粗', '呼吸', '气粗'] 15 15 1
sample - ['至今未孕', '泌尿生殖', '未孕'] 1 1 1
sample - ['阴肿', '生殖器', '阴肿'] 1 1 1
sample - ['红斑结块', '皮', '结块'] 1 1 1
sample - ['腰痛腹坠', '腹', '腹坠'] 3 3 1
sample - ['右胁部隐痛', '胁', '右胁部隐痛'] 1 1 1
sample - ['胃脘胀满疼痛', '腹', '胃脘胀满'] 2 2 2
sample - ['双下肢伸腰时麻疼', '口', '麻'] 3 3 1
sample - ['常下腹部冷感', '腹', '下腹部冷'] 1 1 1
sample - ['耳内闭痛', '耳', '耳内痛'] 1 1 1
sample - ['面颌胖大', '肉', '胖'] 2 2 1
sample - ['四肢可见大片增厚红斑', '皮', '四肢'] 1 1 1
sample - ['咳逆喘息不得卧', '呼吸', '咳逆'] 4 4 3
sample - ['阴部灼热干痛', '生殖器', '阴部灼热'] 1 1 1
sample - ['口臭.', '口', '口臭'] 1 1 1
sample - ['腹痛时作', '腹', '腹痛'] 1 1 1
sample - ['呃逆腹痛', '运化', '呃逆'] 1 1 1
sample - ['经行时腹坠胀甚', '腹', '腹坠'] 1 1 1
sample - ['易出汗.', '皮', '出汗'] 1 1 1
sample - ['办腰困乏力', '肉', '困乏'] 2 2 2
sample - ['面白', '皮', '面白'] 1 1 1
sample - ['盗汗流离', '皮', '盗汗'] 1 1 1
sample - ['神识如蒙.头重如裹.', '头', '头重'] 3 3 1
sample - ['肢体拘急', '筋', '肢体拘急'] 1 1 1
sample - ['闭目漏隙', '目', '闭目'] 1 1 1
sample - ['四肢颤动', '筋', '四肢颤动'] 2 2 2
sample - ['困沉乏力', '肉', '乏力'] 1 1 1
sample - ['胸部烦闷不适', '情绪', '烦闷'] 1 1 1
sample - ['手足梢冷', '皮', '冷'] 23 23 18
sample - ['伴气短乏力汗出', '肉', '乏力'] 2 2 1
sample - ['喉内涎响', '咽喉', '喉响'] 4 4 4
sample - ['心悸胆怯', '胸', '心悸'] 1 1 1
sample - ['生气时即感胸脘懊憹', '情绪', '懊憹'] 13 13 2
sample - ['左中上腹部疼痛', '腹', '中上腹部疼痛'] 1 1 1
sample - ['伴盗汗', '皮', '盗汗'] 1 1 1
sample - ['偶手足热', '皮', '手足热'] 1 1 1
sample - ['两腿无力', '肉', '两腿无力'] 2 2 2
sample - ['矢气少', '运化', '矢气'] 1 1 1
sample - ['外阴瘙痒灼热', '生殖器', '外阴瘙痒'] 2 2 2
sample - ['空腹痛显', '腹', '腹痛'] 1 1 1
sample - ['胸闷不能平卧', '胸', '胸闷'] 1 1 1
sample - ['伴经量少半年腰酸', '泌尿生殖', '经量少'] 1 1 1
sample - ['懒食喜睡', '神志', '喜睡'] 3 3 1
sample - ['腹胀便闭', '腹', '腹胀'] 1 1 1
sample - ['精神弱', '神志', '精神弱'] 1 1 1
sample - ['口干咽红', '口', '口干'] 1 1 1
sample - ['咽干求饮不解', '咽喉', '咽干'] 1 1 1
sample - ['牙齿宣露挺出', '骨', '齿宣'] 2 2 2
sample - ['咳嗽少量白痰', '呼吸', '咳嗽'] 1 1 1
sample - ['头麻', '皮', '头麻'] 2 2 2
sample - ['头昏心慌', '胸', '心慌'] 1 1 1
sample - ['阵发性心前区疼痛', '胸', '心前区疼痛'] 1 1 1
sample - ['四肢酸困', '肉', '四肢酸'] 2 2 2
sample - ['胸脘胁痛', '胁', '胁痛'] 1 1 1
sample - ['双目发直', '神志', '双目发直'] 3 3 1
sample - ['左侧头痛', '头', '左侧头痛'] 3 3 3
sample - ['产后左胁胀满一块', '胁', '左胁胀满'] 3 3 2
sample - ['颊赤口干', '口', '口干'] 2 2 1
sample - ['髋关节疼痛', '骨', '髋关节疼痛'] 4 4 4
sample - ['神志迟钝', '神志', '迟钝'] 1 1 1
sample - ['肋疼', '胁', '肋疼'] 1 1 1
sample - ['胃脘闷胀', '腹', '胃脘闷胀'] 2 2 2
sample - ['举动不便', '肉', '举动不便'] 1 1 1
sample - ['风热体倦', '皮', '体热'] 2 2 1
sample - ['耳聋眼昏', '耳', '耳聋'] 2 2 1
sample - ['耳鸣乏倦', '耳', '耳鸣'] 1 1 1
sample - ['头晕沉闷', '头', '头晕'] 1 1 1
sample - ['口干肚痛', '口', '口干'] 1 1 1
sample - ['大便干欠寐.', '运化', '大便干'] 3 3 2
sample - ['进行性发展为右上肢及肩胛部肌肉萎缩', '肉', '肌肉萎缩'] 5 5 1
sample - ['左手浮肿', '皮', '左手浮肿'] 2 2 2
sample - ['烦躁.汗出', '情绪', '烦躁'] 1 1 1
sample - ['左眼睑上抬无力', '肉', '无力'] 1 1 1
sample - ['右下腹疼', '腹', '右下腹疼'] 2 2 2
sample - ['皮肤燥裂', '皮', '皮肤燥'] 2 2 2
sample - ['心烦懊侬', '情绪', '心烦懊侬'] 4 4 3
sample - ['头面四肢一经风吹', '皮', '四肢'] 1 1 1
sample - ['腰酸软无力不适.', '腰', '腰酸'] 1 1 1
sample - ['肢汗', '皮', '肢汗'] 1 1 1
sample - ['伴少腹隐痛腰酸痛', '腰', '腰酸'] 6 6 2
sample - ['诸体肉肥厚', '肉', '体肥厚'] 24 24 13
sample - ['眼干涩感', '目', '眼干涩'] 2 2 2
sample - ['而更兼腹痛恶食', '腹', '腹痛'] 1 1 1
sample - ['便秘口干', '口', '口干'] 1 1 1
sample - ['咽干吐逆', '咽喉', '咽干'] 1 1 1
sample - ['食纳欠佳', '运化', '食纳欠佳'] 4 4 4
sample - ['大便鲜血', '运化', '大便鲜血'] 2 2 2
sample - ['胸膈伤痛', '胸', '胸膈痛'] 1 1 1
sample - ['嗜冷贪凉', '皮', '冷'] 14 14 8
sample - ['便结尿黄', '泌尿生殖', '尿黄'] 2 2 1
sample - ['小便量多色白', '泌尿生殖', '小便量多'] 1 1 1
sample - ['口干喜饮', '口', '口干'] 1 1 1
sample - ['畏光疼痛', '目', '畏光'] 1 1 1
sample - ['右手肌肉萎缩', '肉', '肌肉萎缩'] 2 2 2
sample - ['四肢无力', '肉', '四肢无力'] 2 2 2
sample - ['全身不自主汗出', '皮', '汗出'] 2 2 2
sample - ['反复鼻衄', '鼻', '鼻衄'] 1 1 1
sample - ['咳剧则呕痰涎', '运化', '呕'] 5 5 3
sample - ['身体浮肿', '皮', '身体浮肿'] 1 1 1
sample - ['胃脘疼痛', '腹', '胃脘疼痛'] 5 5 4
sample - ['四末欠温', '皮', '四末欠温'] 1 1 1
sample - ['肢软疼痛', '肉', '肢软'] 1 1 1
sample - ['心下筑悸', '胸', '心下悸'] 1 1 1
sample - ['形寒肢冷', '皮', '形寒肢冷'] 1 1 1
sample - ['精滑不禁', '泌尿生殖', '精不禁'] 4 4 4
sample - ['目眩心悸', '胸', '心悸'] 2 2 1
sample - ['致胸膈饱满', '胸', '胸膈满'] 2 2 2
sample - ['泛酸作呕', '运化', '泛酸'] 1 1 1
sample - ['活动受限2年', '肉', '活动受限'] 1 1 1
sample - ['胸闷背痛', '肉', '背痛'] 4 4 2
sample - ['鼻塞喷涕', '鼻', '鼻塞'] 1 1 1
sample - ['发惊搐搦', '筋', '搐搦'] 3 3 2
sample - ['腰痛同时伴有右臀酸痛', '腰', '腰痛'] 1 1 1
sample - ['心前区刺痛', '胸', '心前区刺痛'] 1 1 1
sample - ['夜间排尿后出现胸痛', '胸', '胸痛'] 1 1 1
sample - ['咽红肿痛', '咽喉', '咽红'] 1 1 1
sample - ['出现红色皮疹腰部以下水肿', '皮', '水肿'] 6 6 5
sample - ['面黄腹痛', '皮', '面黄'] 1 1 1
sample - ['口唇干燥脱皮', '口', '口唇干燥'] 5 5 4
sample - ['伴有腰酸痛', '腰', '腰酸'] 1 1 1
sample - ['肌肤瘙痒', '皮', '肌肤瘙痒'] 2 2 2
sample - ['恶寒甚', '皮', '恶寒'] 1 1 1
sample - ['目暗', '目', '目暗'] 1 1 1
sample - ['精神萎软', '神志', '精神萎软'] 1 1 1
sample - ['前额头痛', '头', '前额头痛'] 2 2 2
sample - ['肌热咳嗽', '皮', '肌热'] 3 3 1
sample - ['气短心悸', '呼吸', '气短'] 2 2 1
sample - ['脘胀反酸', '腹', '脘胀'] 1 1 1
sample - ['胃脘疼痛时有发作', '腹', '胃脘疼痛'] 4 4 3
sample - ['饮食差', '运化', '饮食差'] 2 2 2
sample - ['纳呆', '运化', '纳呆'] 1 1 1
sample - ['体痛无汗', '皮', '无汗'] 2 2 1
sample - ['左上腹硬满疼痛', '腹', '腹硬满'] 14 14 11
sample - ['伴头痛', '头', '头痛'] 1 1 1
sample - ['口干欲饮', '口', '口干'] 1 1 1
sample - ['口干多梦', '神志', '多梦'] 2 2 1
sample - ['呕吐.', '运化', '呕吐'] 2 2 2
sample - ['头痛作胀', '头', '头痛'] 1 1 1
sample - ['目有昏花', '目', '目昏花'] 1 1 1
sample - ['左上腹部疼痛', '腹', '左上腹部疼痛'] 1 1 1
sample - ['肚腹渐大', '腹', '肚大'] 25 25 25
sample - ['纳差小便频数', '泌尿生殖', '小便频数'] 8 8 4
sample - ['拘挛不得俯仰', '筋', '拘挛'] 1 1 1
sample - ['面黯', '皮', '面黯'] 1 1 1
sample - ['轻微咽痛', '咽喉', '咽痛'] 1 1 1
sample - ['渴而多饮', '口', '渴'] 1 1 1
sample - ['喉间有痰流清涕睡眠欠佳', '咽喉', '喉间有痰'] 13 13 2
sample - ['痰涌气粗', '咽喉', '喉痰'] 19 19 2
sample - ['大腿外侧痛', '肉', '大腿外侧痛'] 1 1 1
sample - ['口苦咽干', '咽喉', '咽干'] 1 1 1
sample - ['梦呓', '神志', '梦呓'] 1 1 1
sample - ['颊赤咽燥', '皮', '颊赤'] 1 1 1
sample - ['白带增多发黄', '泌尿生殖', '白带增多'] 9 9 8
sample - ['小腹下坠隐痛', '腹', '小腹下坠'] 23 23 23
sample - ['小腿外侧抽筋样疼痛', '筋', '抽筋'] 1 1 1
sample - ['下半身怕凉纳少', '运化', '纳少'] 13 13 1
sample - ['频频脱发', '皮', '脱发'] 1 1 1
sample - ['两下肢痛肿重', '骨', '肿'] 224 224 22
sample - ['目珠变黄色', '目', '目珠黄'] 1 1 1
sample - ['腰部及下肢疼痛', '肉', '下肢疼痛'] 10 10 3
sample - ['胸满或腹痛', '腹', '腹痛'] 1 1 1
sample - ['身汗粘润', '皮', '身汗'] 1 1 1
sample - ['伴肠鸣', '腹', '肠鸣'] 1 1 1
sample - ['汗出昼夜', '皮', '汗出'] 1 1 1
sample - ['语声低却', '神志', '语声低'] 2 2 2
sample - ['肠鸣泄痢', '腹', '肠鸣'] 1 1 1
sample - ['乏力尿赤', '泌尿生殖', '尿赤'] 2 2 1
sample - ['头晕腰酸', '腰', '腰酸'] 1 1 1
sample - ['并伴有胸闷', '胸', '胸闷'] 1 1 1
sample - ['喘促胸闷不能平卧', '胸', '胸闷'] 2 2 1
sample - ['时有头痛', '头', '头痛'] 1 1 1
sample - ['胃脘满闷不舒', '腹', '胃脘满闷'] 2 2 2
sample - ['寒战高热', '皮', '高热'] 1 1 1
sample - ['肚腹紧胀', '腹', '肚腹胀'] 1 1 1
sample - ['喜睡', '神志', '喜睡'] 1 1 1
sample - ['口角右偏流泪无', '目', '流泪'] 5 5 1
sample - ['矢气后减轻', '运化', '矢气'] 1 1 1
sample - ['汗出热不退', '皮', '汗出'] 1 1 1
sample - ['伴食少纳呆', '运化', '纳呆'] 1 1 1
sample - ['嘴角抽动', '筋', '抽动'] 1 1 1
sample - ['双膝下水肿', '皮', '水肿'] 2 2 2
sample - ['左腰部疼痛', '腰', '左腰部疼痛'] 1 1 1
sample - ['少许口干', '口', '口干'] 1 1 1
sample - ['则面黑手足不遂', '皮', '面黑'] 1 1 1
sample - ['咯白色泡沫痰咽喉疼痛热则背汗出', '皮', '背汗出'] 24 24 9
sample - ['右少腹疼痛', '腹', '右少腹疼痛'] 1 1 1
sample - ['下颌腺肿（右）入睡难', '神志', '入睡难'] 2 2 2
sample - ['质稀伴气短乏力', '呼吸', '气短'] 2 2 1
sample - ['脸色晦暗', '皮', '脸色晦暗'] 4 4 3
sample - ['白天出汗也较前增多', '皮', '出汗'] 1 1 1
sample - ['四肢枯细', '皮', '四肢'] 1 1 1
sample - ['右侧乳房胀及下腋痛', '乳房', '乳房胀'] 5 5 5
sample - ['心慌发作', '胸', '心慌'] 1 1 1
sample - ['烦躁少寐', '神志', '少寐'] 2 2 1
sample - ['少食懒言', '运化', '少食'] 1 1 1
sample - ['干呕头痛', '运化', '干呕'] 1 1 1
sample - ['烦躁不能入眠', '情绪', '烦躁'] 1 1 1
sample - ['热蕴胸膈', '胸', '胸膈热'] 1 1 1
sample - ['小便淋漓舌质暗红苔黄腻', '泌尿生殖', '小便淋漓'] 6 6 5
sample - ['手足心易出汗', '皮', '出汗'] 1 1 1
sample - ['发胀麻木', '皮', '麻木'] 1 1 1
sample - ['腰及足跟痛', '肉', '足跟痛'] 4 4 1
sample - ['有时夜间喉间哮鸣', '咽喉', '喉间哮鸣'] 2 2 2
sample - ['腰酸如折.', '腰', '腰酸'] 1 1 1
sample - ['白睛混赤', '目', '睛赤'] 9 9 9
sample - ['血尿不止伴血块', '泌尿生殖', '血尿'] 1 1 1
sample - ['白带量多', '泌尿生殖', '白带量多'] 2 2 2
sample - ['发热咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['头痛面赤', '皮', '头面赤'] 3 3 2
sample - ['腰痠疲乏', '腰', '腰痠'] 2 2 1
sample - ['心悸健忘', '胸', '心悸'] 2 2 1
sample - ['鼻塞眼昏', '鼻', '鼻塞'] 1 1 1
sample - ['夹有少量粘液．闻其气味热腐腥秽．触鼻欲呕臀部褥疮如碗大', '运化', '呕'] 99 99 30
sample - ['稍感胸痛', '胸', '胸痛'] 1 1 1
sample - ['气急喘息', '呼吸', '气急'] 2 2 2
sample - ['表皮无丘疹心烦眠差', '神志', '眠差'] 1 1 1
sample - ['口干痛', '口', '口干'] 1 1 1
sample - ['发音嘶哑咽干', '神志', '发音嘶哑'] 1 1 1
sample - ['大汗淋漓', '皮', '大汗淋漓'] 2 2 2
sample - ['少腹和睾丸抽搐剧痛', '筋', '抽搐'] 3 3 1
sample - ['整日闷闷不乐', '情绪', '闷闷不乐'] 1 1 1
sample - ['色黄味臭;小便黄少', '泌尿生殖', '小便黄'] 16 16 4
sample - ['咳吐脓痰', '运化', '吐脓'] 23 23 13
sample - ['自汗淋漓', '皮', '自汗淋漓'] 4 4 4
sample - ['胃脘胀气痞闷', '腹', '胃脘胀气'] 5 5 5
sample - ['身体痛困', '肉', '身体痛'] 2 2 2
sample - ['颈项疼痛不适', '肉', '颈项疼痛'] 2 2 2
sample - ['夜间多发胸闷', '胸', '胸闷'] 1 1 1
sample - ['神情烦闷', '情绪', '烦闷'] 1 1 1
sample - ['耳部肿胀', '耳', '耳肿'] 12 12 3
sample - ['皮肤干枯不泽', '皮', '皮肤干枯'] 1 1 1
sample - ['消瘦盗汗', '皮', '盗汗'] 2 2 1
sample - ['并下腹坠胀', '腹', '下腹坠'] 1 1 1
sample - ['经迟', '泌尿生殖', '经迟'] 10 10 9
sample - ['胸痛彻背', '胸', '胸痛'] 1 1 1
sample - ['腰痛疲乏', '腰', '腰痛'] 2 2 1
sample - ['神差便溏', '运化', '便溏'] 1 1 1
sample - ['脣甲色淡', '筋', '甲色淡'] 1 1 1
sample - ['心中烦热', '皮', '烦热'] 1 1 1
sample - ['情绪激动时全身颤抖', '筋', '全身颤抖'] 46 46 21
sample - ['经来腹痛', '腹', '腹痛'] 1 1 1
sample - ['口中常苦', '口', '口中苦'] 2 2 2
sample - ['右胁部隐痛不适', '胁', '右胁部隐痛'] 1 1 1
sample - ['目陷面浮晄', '目', '目陷'] 1 1 1
sample - ['腹中积冷', '腹', '腹中冷'] 1 1 1
sample - ['胸肋窜痛', '胸', '胸肋痛'] 1 1 1
sample - ['脘闷嗳气', '运化', '嗳气'] 1 1 1
sample - ['行走不稳', '肉', '行走不稳'] 1 1 1
sample - ['周身无力', '肉', '周身无力'] 2 2 2
sample - ['经行腹痛.', '腹', '腹痛'] 1 1 1
sample - ['皮肤干燥粗糙', '皮', '皮肤干燥'] 1 1 1
sample - ['左耳间歇性耳鸣', '耳', '耳鸣'] 1 1 1
sample - ['致腹痛经漏', '腹', '腹痛'] 1 1 1
sample - ['头目眩晕', '头', '头晕'] 4 4 2
sample - ['经期腹痛加重', '腹', '腹痛'] 1 1 1
sample - ['口渴大便干', '口', '口渴'] 1 1 1
sample - ['颧赤唇红', '口', '唇红'] 5 5 2
sample - ['左眼突出', '目', '左眼突出'] 3 3 3
sample - ['肌瘦咳嗽', '肉', '肌瘦'] 2 2 1
sample - ['纳差体力差', '运化', '纳差'] 1 1 1
sample - ['右下肢浮肿', '皮', '右下肢浮肿'] 1 1 1
sample - ['颈痠', '肉', '颈痠'] 1 1 1
sample - ['腰痠膝软', '腰', '腰痠'] 2 2 1
sample - ['心悸活动后明显气短', '胸', '心悸'] 2 2 2
sample - ['牙根浮动头晕腰痛', '头', '头晕'] 1 1 1
sample - ['痰多色白咽干口干', '咽喉', '咽干'] 1 1 1
sample - ['齿根血出', '骨', '齿出血'] 4 4 3
sample - ['怕冷腰痛难以俯仰', '腰', '腰痛'] 3 3 1
sample - ['头痛身楚', '肉', '身楚'] 4 4 2
sample - ['手足汗出', '皮', '汗出'] 1 1 1
sample - ['手胀', '肉', '手胀'] 1 1 1
sample - ['目胀昏花', '目', '目昏花'] 1 1 1
sample - ['小腿中段可见大片皮下瘀斑及多个大小不等的张力性水泡', '皮', '皮下瘀斑'] 46 46 20
sample - ['左下肢麻/酸困', '皮', '下肢麻'] 19 19 17
sample - ['目睛赤', '目', '目睛赤'] 2 2 2
sample - ['精神昏沉', '神志', '神昏沉'] 1 1 1
sample - ['头晕而痛', '头', '头晕'] 1 1 1
sample - ['右手掌浮肿', '骨', '浮肿'] 6 6 2
sample - ['口粘腻', '口', '口粘腻'] 2 2 2
sample - ['四肢凉', '皮', '四肢凉'] 2 2 2
sample - ['腹中微胀', '腹', '腹中胀'] 2 2 2
sample - ['步履无力', '肉', '步履无力'] 1 1 1
sample - ['右耳失聪', '耳', '右耳失聪'] 6 6 6
sample - ['骶尾部疼痛', '腰', '骶尾部疼痛'] 1 1 1
sample - ['食后腹胀疼加重', '腹', '腹胀'] 1 1 1
sample - ['左上肢无力', '肉', '左上肢无力'] 1 1 1
sample - ['腹胀满', '腹', '腹胀满'] 1 1 1
sample - ['即面色青黑', '皮', '面青色'] 9 9 9
sample - ['全身震颤', '筋', '全身震颤'] 2 2 2
sample - ['失眠.', '神志', '失眠'] 1 1 1
sample - ['全身发热', '皮', '全身发热'] 2 2 2
sample - ['面色晦黄', '皮', '面色晦'] 17 17 17
sample - ['动则胸闷气急', '呼吸', '气急'] 2 2 1
sample - ['第二日鼻色变黑', '鼻', '鼻黑'] 10 10 6
sample - ['胸痹心痛', '胸', '心痛'] 1 1 1
sample - ['产后头发脱落', '皮', '头发脱落'] 1 1 1
sample - ['四肢皮肤陈旧性紫斑', '皮', '四肢'] 3 3 3
sample - ['发热腹泻', '皮', '发热'] 1 1 1
sample - ['未避孕未孕经期伴下腹坠胀', '泌尿生殖', '未孕'] 1 1 1
sample - ['汗出口臭', '口', '口臭'] 10 10 1
sample - ['伴口臭', '口', '口臭'] 1 1 1
sample - ['偶有胸闷憋气', '胸', '胸闷'] 1 1 1
sample - ['胸闷夜烦', '情绪', '烦'] 6 6 1
sample - ['白睛有赤丝发生', '目', '白睛赤丝'] 9 9 9
sample - ['过午精神差', '神志', '精神差'] 1 1 1
sample - ['头晕目干', '目', '目干'] 2 2 1
sample - ['头痛颊赤', '头', '头痛'] 2 2 1
sample - ['胃脘痛反复发作', '腹', '胃脘痛'] 2 2 2
sample - ['精神淡漠', '神志', '精神淡漠'] 1 1 1
sample - ['惊惧多梦', '情绪', '惊惧'] 4 4 1
sample - ['胃脘隐痛伴胀满不舒反复发作', '腹', '胃脘隐痛'] 7 7 7
sample - ['色红自觉烦躁', '情绪', '烦躁'] 1 1 1
sample - ['腰腿发凉', '皮', '发凉'] 1 1 1
sample - ['腹痛膝软', '肉', '膝软'] 2 2 1
sample - ['头晕耳堵', '头', '头晕'] 1 1 1
sample - ['右膝皮温高', '皮', '皮温高'] 1 1 1
sample - ['时易汗出', '皮', '汗出'] 1 1 1
sample - ['左上腹痛', '腹', '左上腹痛'] 5 5 5
sample - ['左半身出汗', '皮', '左半身出汗'] 1 1 1
sample - ['周身无力心悸眠差', '肉', '周身无力'] 2 2 2
sample - ['上课嗜睡', '神志', '嗜睡'] 1 1 1
sample - ['错语', '神志', '错语'] 1 1 1
sample - ['语气低微', '神志', '语气低微'] 1 1 1
sample - ['小便量多', '泌尿生殖', '小便量多'] 1 1 1
sample - ['齿龈渗血', '骨', '齿龈渗血'] 1 1 1
sample - ['疲乏气短', '肉', '疲乏'] 1 1 1
sample - ['烧心吞酸', '运化', '吞酸'] 2 2 1
sample - ['便纸常沾附鲜血伴头晕眠差口苦', '头', '头晕'] 1 1 1
sample - ['张口假性强直耳鸣(右)如蝉啸', '口', '张口'] 2 2 1
sample - ['足冷夜尿频多', '皮', '足冷'] 1 1 1
sample - ['大便稀溏不成形', '运化', '大便稀溏'] 1 1 1
sample - ['咳较多黄色粘痰', '呼吸', '咳'] 1 1 1
sample - ['头晕乏力低热', '头', '头晕'] 1 1 1
sample - ['右下肢凉', '皮', '右下肢凉'] 3 3 3
sample - ['指端发凉', '皮', '发凉'] 1 1 1
sample - ['右侧上下肢不能活动', '肉', '不能活动'] 40 40 36
sample - ['胸胁郁闷', '情绪', '郁闷'] 1 1 1
sample - ['腰部怕冷喜温', '腰', '腰部怕冷'] 2 2 1
sample - ['头晕心悸', '胸', '心悸'] 1 1 1
sample - ['右膝左腕活动受限', '肉', '活动受限'] 2 2 2
sample - ['阴痿自汗', '泌尿生殖', '阴痿'] 1 1 1
sample - ['两目赤突', '目', '两目赤'] 3 3 3
sample - ['声重痰多', '神志', '声重'] 1 1 1
sample - ['左腿麻痛', '口', '麻'] 2 2 1
sample - ['眼睑浮肿', '皮', '眼睑浮肿'] 1 1 1
sample - ['右下腹疼痛拒按', '腹', '右下腹疼痛'] 1 1 1
sample - ['耳疼颊赤', '皮', '颊赤'] 1 1 1
sample - ['两胁刺痛及肚里疼', '腹', '肚腹疼痛'] 124 124 10
sample - ['皮肤枯槁粗糙', '皮', '皮肤枯槁'] 3 3 3
sample - ['腰酸溲少', '腰', '腰酸'] 1 1 1
sample - ['腹痛气急', '腹', '腹痛'] 1 1 1
sample - ['乳房发胀', '乳房', '乳房发胀'] 1 1 1
sample - ['便秘尿黄', '泌尿生殖', '尿黄'] 1 1 1
sample - ['丘疹部分丘疹顶端有小脓疱瘙痒口渴喜饮', '皮', '瘙痒'] 2 2 1
sample - ['吐沫抽搐', '筋', '抽搐'] 1 1 1
sample - ['困乏无力', '肉', '困乏无力'] 1 1 1
sample - ['处冷汗', '皮', '冷汗'] 1 1 1
sample - ['语涩', '神志', '语涩'] 1 1 1
sample - ['头眩昏', '目', '眩'] 20 20 5
sample - ['耳鸣如蝉', '耳', '耳鸣'] 1 1 1
sample - ['易心悸', '胸', '心悸'] 1 1 1
sample - ['麻木僵硬感', '皮', '麻木'] 1 1 1
sample - ['伴肛门下坠感', '肛门', '肛门下坠'] 1 1 1
sample - ['面赤齿燥', '骨', '齿燥'] 2 2 1
sample - ['神昏', '神志', '神昏'] 1 1 1
sample - ['身困倦怠', '肉', '倦怠'] 2 2 2
sample - ['偶有头部及四肢麻木', '皮', '四肢麻木'] 21 21 14
sample - ['易汗出', '皮', '汗出'] 1 1 1
sample - ['下半身盗汗', '皮', '盗汗'] 1 1 1
sample - ['身重肢倦', '肉', '肢倦'] 2 2 2
sample - ['发病搐搦', '筋', '搐搦'] 1 1 1
sample - ['头昏倦怠', '头', '头昏'] 2 2 1
sample - ['腰酸寐差', '腰', '腰酸'] 1 1 1
sample - ['两颊部有麻木感', '皮', '麻木'] 1 1 1
